tag,stemtag,species,dbh.2008,dbh.2013,quadrat,lx,ly,codes,dendrometer.height,Nail.height,dendro.diameter.2011,5/9/2011,5/13/2011,5/16/2011,5/24/2011,6/6/2011,6/13/2011,6/20/2011,6/27/2011,7/5/2011,7/11/2011,7/18/2011,7/25/2011,8/1/2011,8/8/2011,8/22/2011,9/6/2011,9/19/2011,10/5/2011,10/16/2011,11/1/2011,11/17/2011,Notes 2011,,4/11/2012,4/25/2012,5/8/2012,5/22/2012,6/5/2012,6/19/2012,7/2/2012,7/16/2012,7/30/2012,8/14/2012,8/28/2012,9/10/2012,9/24/2012,10/9/2012,10/23/2012,11/26/2012,Notes 2012,,DBH_mm (March 2013),4/8/2013,4/23/2013,5/6/2013,5/20/2013,6/3/2013,6/17/2013,7/1/2013,7/15/2013,7/29/2013,8/12/2013,8/26/2013,9/9/2013,9/23/2013,10/9/2013,Notes 2013,,3/24/2014,4/14/2014,5/1/2014,5/13/2014,5/27/2014,6/10/2014,6/23/2014,7/7/2014,7/21/2014,8/4/2014,8/18/2014,9/2/2014,9/15/2014,10/27/2014,Notes 2014,,3/22/2015,4/23/2015,5/7/2015,5/19/2015,6/3/2015,6/16/2015,7/1/2015,7/14/2015,7/28/2015,8/11/2015,8/25/2015,9/16/2015,Notes in 2015,,4/6/2016,5/12/2016,5/26/2016,6/9/2016,6/23/2016,7/7/2016,7/21/2016,8/4/2016,8/18/2016,9/1/2016,9/13/2016,9/29/2016,10/13/2016,10/27/2016,Notes in 2016,,4/18/2017,5/18/2017,6/2/2017,6/21/2017,6/30/2017,7/13/2017,7/31/2017,8/10/2017,8/17/2017,9/11/2017,9/21/2017,11/16/2017,Notes in 2017,,3/9/2018,4/6/2018,4/26/2018,5/15/2018,5/29/2018,6/14/2018,6/29/2018,7/12/2018,7/26/2018,8/9/2018,8/23/2018,notes 2018,location 2
42270,1,quru,813.2,0,424,12.3,18.6,,1.47,1.41,851,21.77,20.5,20.51,19.59,19.77,20.31,19.86,20.16,20.09,20.13,18.43,NA,NA,NA,NA,NA,NA,14.04,NA,NA,NA,DEAD,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,,,,South
50364,1,qual,637.9,661.9000244,507,4.2,18.1,,1.38,1.47,642.8,26.38,27.43,29.78,29.8,31.33,33.19,33.56,33.96,33.98,35.11,35.93,36.23,36.7,37.4,37.59,39,39.53,39.35,39.48,39.39,39.19,,,39.04,41.1,41.48,42.81,44.24,45.38,46.95,48.1,49.2,49.98,50.78,51.01,51.24,51.55,51.72,51.92,,,658,49.97,51.55,53.24,53.83,55.41,57.37,58.85,61.61,62.49,63.42,64.69,64.67,64.72,64.78,,,64.82,64.07,67.62,67.2,68.67,71.07,72.96,74.1,75.48,76.11,77.58,78.16,78.28,78.27,,,76.98,78.65,79.92,81.58,83.23,83.72,84.86,85.56,85.62,85.75,85.69,85.88,,,85.32,89.77,89.58,89.71,92.22,93.89,94.7,97,97.46,97.41,97.18,97.94,98.24,97.41,,,97.12,101.48,101.6,102.67,104,102.88,106.67,106.89,107.6,107.46,107.53,107.52,,,106.23,106.08,107.74,110.68,112.54,114.16,115.82,116.95,118.31,117.68,117.63,,South
50650,1,litu,184.3,184.3000031,514,19.5,14.9,,1.44,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,3.24,2.94,3.11,3.5,3.54,3.6,3.6,3.4,3.51,3.57,From sap flow cluster. DBH 2013,,3.26,2.94,3.09,2.79,3.85,4.37,4.78,5.53,5.17,5.21,6.14,5.56,5.51,5.47,From sap flow cluster,,5.21,5.27,5.05,5.57,6.96,7.26,7.69,7.79,7.83,7.78,7.75,7.98,,,7.18,9.58,9.47,9.56,10.22,11.09,10.7,10.78,10.76,10.71,10.6,10.79,10.88,10.6,,,10.16,10.74,11.3,11.9,11.55,12.23,12.3,12.35,12.96,12.94,12.96,12.56,,,12.72,12.65,13.02,13.07,13.5,14.52,14.7,15.02,15.98,16.66,16.62,,South
50654,1,litu,717.2,717.2000122,514,17.2,19.1,,1.45,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,5,6.93,10.2,15.16,17.28,19.2,19.93,19.59,19.64,19.83,From sap flow cluster. DBH 2013,,20.05,18.12,19.85,18.62,19.56,22.79,25.63,28.64,30.14,31.14,32.64,32.81,32.97,32.39,From sap flow cluster,,32.17,31.51,33.05,32.93,35.14,37.73,40.28,42.53,43.61,43.83,43.59,NA,band adjusted 5/7/15,,11.84,17.45,17.43,17.42,18.03,20.02,21.35,22.82,22.97,23.02,23.02,23.31,23.69,23.45,,,23.19,23.77,24.27,26.02,26.55,27.63,28.86,29.2,29.61,29.66,29.61,30.13,,,29.98,29.92,29.84,30.22,30.72,32.34,34.52,35.17,37.03,38.74,39.28,,South
52190,1,quru,932.1,968.5,522,16.4,3.4,,1.37,1.32,945,63.83,63.1,66.99,68.77,71.26,73.63,73.74,75.33,75.4,76.18,76.29,77.04,77.87,78.74,80,81,82.12,82,83.23,83.27,82.96,,,83.66,83.82,84.93,86.32,88.2,88.56,91.11,91.65,91.87,94.71,95.35,96.29,96.13,96.26,95.82,96.29,,,964,95.86,96.23,99.43,102.42,104.98,106.93,108.08,111.24,111.73,113.6,114.22,114.89,114.66,114.81,band bent,,114.45,114.01,118.97,119.67,120.51,126.15,128.26,129.7,131.47,133.58,133.66,136.16,135.67,142.33,,,140,140.59,7.64,10.16,13.15,17.62,19.81,21.22,22.44,23.19,23.53,25.26,"new band 04/28/2015, band slightly adjusted 7/1/15",,25.94,31.18,33.55,35.73,37.89,40.24,41.52,43.47,44.33,44.62,44.7,45.55,47.61,46.69,tag eaten by tree,,41.9,62.3,62.41,63.74,64.55,66.01,68.19,69.74,70,70.74,70.71,72.4,double checked 5/18,,71.27,70.54,72.44,76.69,79.53,83.2,86.86,86.76,88.5,90.27,89.67,,North
60414,1,quru,912.0,0,611,4.2,0,,1.32,1.44,916.1,9.91,10.4,10.71,10.26,10.14,10.08,10.35,10.04,10.06,10.12,10.08,10.1,9.84,9.75,9.52,9.84,9.96,NA,NA,NA,NA,DEAD,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEAD 2011,,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,,,,South
60456,1,caca,64.5,64.5,614,5.3,15,,1.44,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,6.23,6.25,6.14,6.05,6.1,6.13,6.06,6,6.15,6.13,From sap flow cluster. DBH 2013,,5.61,5.58,5.63,5.61,6.02,5.98,6.04,5.98,5.98,6,6.13,6.61,6.09,6.07,From sap flow cluster,,5.63,5.62,5.58,5.67,6.01,5.25,6.04,6.15,6.17,6.14,6.21,6.19,,,7.23,7.4,7.33,7.39,7.62,7.94,7.94,7.76,7.87,7.75,7.91,7.9,7.87,7.9,,,7.97,7.91,8.06,8.51,8.37,8.6,8.61,8.62,8.81,8.62,8.69,8.52,,,8.65,8.67,8.75,8.78,8.82,8.83,8.88,8.80,8.83,8.86,9.04,,South
60457,1,caca,99.5,99.5,614,4,15.2,,1.43,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,4.45,4.59,4.55,4.45,4.59,4.61,0.52,4.36,4.61,4.61,From sap flow cluster. DBH 2013,,3.21,3.71,3.71,3.63,4.83,5.1,5.21,5.32,5.39,5.47,5.61,5.58,5.65,5.73,From sap flow cluster,,5.53,5.43,5.49,5.6,5.84,6.26,6.54,6.66,6.63,6.64,6.51,6.61,,,8.27,7.94,7.93,8.11,8.35,8.48,8.43,8.38,8.47,8.5,8.51,8.57,8.51,8.54,,,8.62,8.63,8.69,9.2,8.94,9.32,9.34,9.22,9.56,9.39,9.47,9.56,,,9.79,9.83,9.81,9.9,9.84,9.91,10.57,10.47,10.48,10.50,10.09,,South
60458,1,fagr,269.5,269.5,615,1.9,0,,1.39,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,11.31,13.15,16.72,19.03,20.8,21.99,22.67,22.87,22.82,23.05,From sap flow cluster. DBH 2013,,23.54,26.57,23.54,23.61,25.8,28.35,31.25,34.42,35.9,37.06,38.21,38.46,38.55,38.96,From sap flow cluster,,38.8,38.9,38.83,40.68,43.9,45.81,48.74,50.75,52.45,52.99,53.03,53.11,,,53.68,54.05,54.78,57.6,60.43,62.98,64.88,66.08,67.22,67.34,67.17,67.51,67.69,67.57,,,67.85,68.58,70.9,75.03,75.31,77.19,78.67,78.81,79.47,79.63,79.49,79.69,,,80,80.06,80.1,80.68,83.33,86.68,87.43,90.91,12.46,13.08,13.27,replaced 7/26,South
60459,1,fagr,99.7,99.69999695,615,2,3,,1.36,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,15.11,15.6,17.11,18.41,19.33,19.87,20.3,20.57,20.64,21.01,From sap flow cluster. DBH 2013,,21.27,21.6,21.58,21.55,22.33,24.24,26.14,28.27,29.4,30.12,32.56,34.23,34.74,35.39,From sap flow cluster,,35.72,36.59,35.9,37.57,40.23,40.83,NA,NA,NA,NA,NA,NA,"band tight on tree 4/23/15, band broke,need reinstall 7/1/15",,27.09,27.29,27.78,29.56,30.59,31.54,32.54,33.45,34.71,35.23,35.58,35.66,35.66,35.61,,,36.1,36.56,NA,NA,NA,NA,6.96,7.37,7.62,7.78,8.14,8.45,"band missing (6/2), replaced 7/27",,8.35,8.28,8.34,8.64,9.57,11.83,12.68,14.08,14.21,15.45,15.48,,South
60462,1,fagr,209.5,209.5,615,5.6,7.6,,1.43,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,5.33,6.94,10.35,12.81,14.64,16.09,16.76,17,17.2,17.24,From sap flow cluster. DBH 2013,,17.57,17.62,17.59,17.56,18.21,20.96,23.97,27.31,28.94,29.95,31.09,31.11,31.54,31.92,From sap flow cluster,,31.92,32.3,31.93,32.51,35.68,38.76,40.92,43.37,45.68,46.44,46.4,46.75,band adjusted 6/17/15,,20.88,20.85,20.83,23.2,25.93,29.04,31.54,32.99,34.72,34.93,35.09,35.43,35.58,35.72,,,36.02,36.02,36.93,40.24,41.48,43.98,45.79,46.51,47.3,47.95,47.91,48.34,,,48.38,48.56,48.55,48.69,49.7,52.54,54.65,57.09,59.11,61.44,62.30,,South
60463,1,juni,468,468,615,7.2,8,,1.43,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,5.68,6.82,8.15,10.36,11.1,11.95,12.9,12.76,12.77,12.55,From sap flow cluster. DBH 2013,,11.12,8.75,11.23,10.05,11.47,14.88,18.23,19.92,21.16,22.26,24.98,24.9,26.89,25.36,From sap flow cluster,,22.04,22.45,22.16,23.83,27.97,30.66,34.03,35.88,36.43,36.82,36.66,36.88,,,32.93,37.41,37.51,36.96,39.79,43.75,44.68,47.29,47.65,47.57,46.61,47.77,48.84,47.16,,,45.35,47.91,49.38,51.35,51.14,51.4,52.75,53.01,32.53,31.01,31.24,32.24,replaced 8/17,,30.31,29.47,29.73,30.67,33.66,37.03,39.61,41.31,43.98,45.91,46.83,,South
60468,1,caca,67.3,67.30000305,615,5.4,9.6,,1.38,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,6.56,6.63,6.78,6.95,7.08,7.19,7.15,7.26,7.25,7.31,From sap flow cluster. DBH 2013,,7.43,7.4,7.46,7.44,8.56,9.36,10.25,10.96,11.25,11.43,11.52,11.66,11.64,11.82,From sap flow cluster,,12,12.21,11.96,12.57,13.84,14.66,15.84,15.83,17.21,17.4,18.21,17.85,,,18.07,18.27,18.56,19.58,20.65,22.02,22.55,23.07,23.39,23.44,23.48,23.58,23.61,23.56,,,23.39,23.68,24.56,26.46,25.99,27.31,27.36,27.4,27.7,27.53,27.65,27.61,,,27.38,27.32,27.39,27.77,28.14,28.97,30.06,30.68,31.03,32.11,31.87,,South
60469,1,cofl,70,70,615,6.8,9.8,,1.43,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,3.76,3.7,3.64,3.76,3.87,3.83,3.75,3.58,3.73,3.69,From sap flow cluster. DBH 2013,,3.47,3.31,3.46,3.3,4.34,4.47,4.77,4.92,4.9,4.72,4.9,4.87,4.89,4.76,From sap flow cluster,,5,4.82,4.92,4.97,5.46,5.26,5.82,5.58,5.7,5.58,5.51,5.66,,,7.53,7.35,7.18,7.58,8.11,8.53,8.37,8.18,8.23,8.14,7.92,8.18,8.15,8.07,,,8.04,8.03,8.05,8.3,8.24,8.23,8.77,8.59,8.9,8.55,8.53,8.73,,,8.43,8.39,8.61,8.62,8.63,8.91,9.01,9.13,9.51,9.21,9.17,,South
60562,1,fagr,124,124,614,19,8.7,,1.47,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,4.23,5.1,7.98,8.97,10.29,11.48,12.12,12.39,12.21,12.57,From sap flow cluster. DBH 2013,,12.78,12.73,12.7,12.68,13.54,15.77,18.61,22.62,23.43,24.98,27.23,28.29,28.73,29.12,From sap flow cluster,,29.32,30.03,29.33,30.57,33.92,35.82,38.53,40.51,42.44,43.31,43.85,44.23,,,44.03,11.76,11.88,13.96,16.08,17.78,19.54,21.37,23.84,24.21,24.53,25.34,25.66,25.8,new band ,,26.36,26.43,28.03,31.1,33.4,35,38.28,39.2,39.72,40.87,40.82,41.72,,,41.48,41.68,41.67,42.07,43.29,46.49,47.31,49.15,49.99,48.27,48.89,,South
60563,1,caca,87.5,87.5,614,14.2,13.2,,1.38,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,9.61,9.68,9.71,9.93,10.51,10.57,10.52,10.69,10.46,10.58,From sap flow cluster. DBH 2013,,10.7,10.6,10.54,10.5,12.34,13.92,13.7,13.51,13.6,13.68,13.8,13.95,13.85,14.06,From sap flow cluster,,13.88,13.8,13.84,13.91,14.36,14.48,15.01,15.22,15.41,15.42,15.49,15.54,,,16.19,17.43,19.01,19.06,19.26,19.81,19.78,20.09,20.21,20.13,20.16,20.31,20.31,20.33,,,20.52,20.57,20.83,22.03,22.36,22.73,23.89,24.05,24.23,24.35,24.5,24.57,,,5.65,5.93,6.18,6.01,6.12,6.74,6.6,7.24,7.11,7.71,7.78,,South
60566,1,fagr,194.2,194.1999969,614,10,11,,1.44,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,7.74,8.4,10.05,12.63,13.67,15.3,15.9,16.84,16.99,17.04,From sap flow cluster. DBH 2013,,17.65,17.33,17.42,17.3,18.57,20.95,23.29,25.23,26.23,27.22,28.15,28.41,28.66,28.78,From sap flow cluster,,28.86,28.88,28.77,29.61,32.42,36.09,36.24,37.5,38.67,39.65,39.34,39.31,,,39.86,40.35,40.49,43.02,45.29,47.43,49.14,50.14,50.57,50.46,50.58,50.55,50.47,50.53,Needs new band! 8/18,,65.4,65.75,67.65,70.65,71.54,73.98,75.09,75.19,75.27,75.1,75.18,75.97,,,75.85,75.64,75.65,76.06,78.44,81.66,83.48,86.08,87.51,88.65,89.63,,South
60567,1,litu,536.8,536.7999878,614,11.6,11.2,,1.54,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,15.96,16.58,19.61,23.85,25.86,28.31,28.28,28.33,28.29,28.55,From sap flow cluster. DBH 2013,,28.28,26.78,27.88,27.25,27.87,30.85,33.93,36.66,38.58,40.29,42.08,42.01,41.64,42,From sap flow cluster,,41.38,41.49,41.01,41.73,44.18,45.84,49.09,51.13,52.37,52.78,52.75,52.59,,,23.5,23.86,23.65,24.34,27.59,30.09,31.82,34.02,34.52,34.57,33.96,34.77,35.12,34.75,,,34.13,35.4,35.4,37.72,39.7,41.36,43.45,43.55,44.46,44.45,44.56,45.32,,,45.19,44.2,44.72,44.97,45.67,49.01,51.72,53.43,55.63,56.08,57.28,,South
60568,1,caca,90.3,90.30000305,614,15.5,15.6,,1.37,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,4.76,4.04,3.79,4.06,4.62,4.71,4.43,4.57,4.58,5.01,From sap flow cluster. DBH 2013,,4.17,4.35,4.2,4.52,5.15,5.53,5.6,6.04,6,6.08,6.82,6.11,6.1,6.37,From sap flow cluster,,6.33,6.63,6.35,6.45,7.29,7.93,8.26,8.28,8.64,8.43,8.75,8.81,,,8.53,8.73,8.73,9.04,9.49,10.9,10.43,10.52,10.81,10.4,10.69,10.59,10.55,10.61,,,10.82,10.79,11.76,13.07,12.94,13.33,14.77,17.52,15.04,15.13,15.26,14.68,,,14.79,15.08,15.29,15.26,15.68,18.83,19.15,19.31,20.01,19.86,20.11,,South
60569,1,caca,89.5,89.5,614,19.4,16.2,,1.32,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,3.89,3.74,4.06,4.18,4.44,4.51,4.44,4.56,4.6,4.63,From sap flow cluster. DBH 2013,,4.84,4.76,4.71,4.82,5.56,6.22,7.41,8.06,8.33,8.51,8.83,8.72,8.71,8.84,From sap flow cluster,,8.68,8.75,8.73,8.99,10.33,11.16,11.88,12.03,12.53,12.38,12.66,12.71,,,14.19,14.2,14.15,15.01,16.49,17.28,17.48,17.73,18.06,17.93,18.06,17.99,17.92,18.16,,,18,18.15,19.19,20.52,21.66,21.69,24.19,24.22,24.63,24.29,24.18,27.43,,,26.15,26.25,26.46,26.49,26.66,28.3,29.42,30.11,30.99,31.39,31.25,,South
60570,1,caco,396.1,396.1000061,614,15.2,16.7,,1.41,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,5.52,6.1,8.23,10.72,11.92,12.83,13.36,13.29,13.28,13.45,From sap flow cluster. DBH 2013,,9.58,11.25,12.74,12.94,14.73,18.18,21.87,25.78,27.63,29.1,30.66,30.91,31.04,31.5,From sap flow cluster,,24.82,29.74,36.72,36.96,38.63,42.58,44.69,44.57,44.73,44.14,44.65,44.56,adjusted tab 5/7/15 because it covered window ,,7.42,8.39,9.37,12.65,17.93,23.18,27.17,31.36,34.97,37.1,38.69,41.22,41.49,41.39,,,39.62,47.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead 5/18,,NA,NA,NA,NA,NA,NA,NA,,,,,,South
60571,1,caca,116,116,614,12,17.4,,1.48,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,2.32,1.91,2.43,2.95,3.17,3.52,3.75,3.17,3.23,3.27,From sap flow cluster. DBH 2013,,3.62,3.55,3.57,3.81,4.23,4.4,4.81,6.04,5.87,5.95,6.65,6.21,6.24,6.26,From sap flow cluster,,6.18,6.8,6.15,6.35,7.99,7.53,8.9,9.05,9.1,9.51,9.43,9.34,,,11.73,11.7,11.75,11.76,12.12,12.75,12.85,12.84,13.15,12.64,12.78,12.78,12.92,12.67,,,12.5,12.9,13.54,14.08,14.56,15.14,15.56,15.94,16.32,16.12,16.65,16.26,,,16.8,17.22,17.19,17.42,17.47,18.69,19.2,20.81,21.07,22.53,22.73,,South
60573,1,tiam,258.5,258.5,614,8.5,16.3,,1.45,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,4.53,5.95,9.16,12.16,12.47,12.72,12.97,12.84,13.01,13.18,From sap flow cluster. DBH 2013,,12.56,11.97,12.29,11.83,13.02,18.18,22.04,24.58,25.11,25.14,25.95,26.05,26.12,25.95,From sap flow cluster,,26.46,25.47,26.22,26.29,30.29,32.69,35.15,35.95,36.15,35.92,35.65,36.18,,,21.26,21.1,20.77,20.3,20.73,21.23,21.42,21.6,21.62,21.51,21.27,21.71,21.89,21.56,,,21.45,21.6,21.63,22.92,24.02,25.11,25.72,25.77,25.87,25.95,26.02,26.45,,,26.48,26.56,26.73,26.75,26.73,26.96,27.2,27.28,27.31,27.73,27.89,,South
60576,1,caca,95.1,95.09999847,615,17.1,1,,1.37,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,19.45,19.39,20.17,20.01,20.14,20.4,20.48,20.48,20.59,20.57,From sap flow cluster. DBH 2013,,21.02,21.05,20.88,20.48,22.79,23.12,23.72,24.39,24.72,25.14,25.68,25.77,26.23,26.01,From sap flow cluster,,26.54,26.83,26.42,26.76,27.73,28.17,29.05,29.83,30.45,30.77,30.93,31.24,,,8.81,8.64,8.78,9.04,9.6,10.21,10.6,10.86,11,10.81,11.08,11.01,11.18,11.05,,,11.38,11.32,11.45,12.36,12.29,12.79,12.94,12.94,13.08,13.15,13.13,13.13,,,13.47,13.47,13.54,13.49,13.61,14.07,14.32,14.48,14.49,14.81,14.97,,South
60577,1,litu,546.2,546.2000122,615,12.7,1.4,,1.5,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,11.63,12.75,14.97,17.78,19.34,20.67,21.16,21.26,21.26,21.32,From sap flow cluster. DBH 2013,,22.97,22.89,22.98,22.81,23.06,25.21,27.62,30.13,31.33,32.32,33.45,33.5,33.61,33.95,From sap flow cluster,,34.25,34.27,34.22,34.41,37,38.46,42.04,43.53,44.88,45.68,45.68,45.59,,,47.38,47.8,47.74,48.55,51.76,54.18,56.06,58.29,59.11,59.09,58.92,59.63,60.24,60.09,,,60.36,61.07,61.76,64.5,65.3,67.06,68.33,68.38,69.42,69.36,69.41,70.2,,,1.8,1.16,1.75,1.93,2.96,6.75,9.41,11.32,13.98,14.27,15.04,,South
